"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
5.65421908416423e-272,-2.58357752366026,0.946,0.998,1.01815523048545e-267,"MBP","0"
6.41871144525221e-197,-2.83257799756605,0.746,0.963,1.15581736994657e-192,"PLP1","0"
1.14112838174531e-184,1.0129582608153,0.997,0.927,2.05482987700877e-180,"ENC1","0"
8.77245781397517e-154,-2.49096481226022,0.592,0.852,1.57965647856251e-149,"GFAP","0"
5.88483904795966e-142,0.34351687383243,1,1,1.0596829673661e-137,"MT-CO1","0"
1.16520804342858e-139,1.35048589552958,0.831,0.474,2.09819012380184e-135,"HOPX","0"
1.95107236559425e-129,0.530919884967874,1,0.99,3.51329600872557e-125,"NRGN","0"
1.03492776348871e-126,-2.22754344146462,0.577,0.845,1.86359442371413e-122,"CRYAB","0"
4.22236943302357e-124,0.654275309527424,1,0.962,7.60322063804554e-120,"CCK","0"
5.37815428196639e-120,-2.30838365556995,0.545,0.813,9.68444241553688e-116,"CNP","0"
5.96543676795582e-119,-1.80979369264041,0.609,0.838,1.07419619880581e-114,"S100B","0"
7.66218532747935e-111,0.593017548319995,0.998,0.975,1.37972971191921e-106,"YWHAH","0"
4.61429342693044e-103,0.5492610177434,0.999,0.973,8.30895817387365e-99,"OLFM1","0"
5.53433180429184e-101,0.287401936160356,1,1,9.96567127998832e-97,"MT-ATP6","0"
4.98640431436764e-99,-2.76041908166684,0.287,0.595,8.97901824888181e-95,"TF","0"
1.00846672715826e-96,-1.12277749806888,0.954,0.976,1.81594603559389e-92,"PTGDS","0"
3.01435698828745e-96,-3.04196152846698,0.194,0.517,5.42795262880921e-92,"MOBP","0"
8.18623951440361e-92,0.281360171754596,1,1,1.47409614935866e-87,"MT-CYB","0"
3.73814595483642e-88,0.454672338052791,1,0.995,6.73127942087394e-84,"NDUFA4","0"
1.14954424255981e-85,-1.58952827596205,0.521,0.743,2.06998431757746e-81,"SCD","0"
1.57401234170637e-83,-0.6366398699154,0.971,0.995,2.83432402371067e-79,"RPS12","0"
3.09517255228497e-81,0.503270696037739,0.998,0.977,5.57347721489955e-77,"VSNL1","0"
8.37203184716506e-78,0.541922719378092,0.987,0.981,1.50755177471901e-73,"CAMK2N1","0"
5.28448626786321e-75,0.268459259455883,1,1,9.51577442254129e-71,"MT-ND3","0"
6.47890015829602e-75,2.05362872162077,0.299,0.069,1.16665555150436e-70,"CUX2","0"
4.669246783915e-73,-2.98888344651485,0.102,0.382,8.40791268379574e-69,"ERMN","0"
1.84646136478661e-72,1.72962951781609,0.365,0.11,3.32492297957124e-68,"PCDH8","0"
1.34125356631261e-71,2.1555062494564,0.349,0.105,2.41519529685911e-67,"CARTPT","0"
1.89676326391505e-70,-2.15346716794103,0.272,0.533,3.41550160933184e-66,"RNASE1","0"
1.90603490530735e-70,0.360377312465348,1,0.998,3.43219705398694e-66,"CALM1","0"
1.4195877092563e-68,-2.49327303623675,0.219,0.48,2.55625158805781e-64,"PPP1R14A","0"
2.22718902896109e-68,1.33379887877096,0.497,0.216,4.01049928445024e-64,"VSTM2A","0"
3.58653655251567e-68,-2.76325597530614,0.174,0.438,6.45827637011497e-64,"MAG","0"
8.05885558507096e-67,-2.14204139926794,0.318,0.553,1.45115812520373e-62,"CLDND1","0"
9.92253703834618e-66,1.312394462833,0.478,0.201,1.786751244495e-61,"FAM84A","0"
3.6086388693132e-65,1.92180304973667,0.306,0.086,6.49807601197227e-61,"CALB1","0"
2.94867808934751e-64,-2.11874102228354,0.247,0.498,5.30968463548806e-60,"SPP1","0"
4.63714006206875e-64,-1.73136189407375,0.35,0.582,8.3500981097672e-60,"SEPT4","0"
6.72966167365979e-64,1.25531194505762,0.491,0.217,1.21181017757592e-59,"HAPLN4","0"
2.30611184504931e-62,1.57137875907632,0.36,0.122,4.1526155993803e-58,"CBLN4","0"
4.60036942486586e-62,0.984839659960335,0.632,0.344,8.28388522335596e-58,"C11orf87","0"
2.11156472225387e-61,1.30341053607403,0.472,0.208,3.80229459536254e-57,"CA10","0"
2.26756279808118e-61,0.515435405079582,0.994,0.99,4.08320033050479e-57,"ATP1B1","0"
2.40291243600636e-61,-0.952815472050235,0.662,0.817,4.32692442351665e-57,"B2M","0"
1.02965914381884e-60,-1.5078477819633,0.382,0.607,1.85410722027459e-56,"PLEKHB1","0"
1.94145940562352e-60,0.584370511369517,0.948,0.859,3.49598595170626e-56,"ATP1A1","0"
2.04673510381104e-60,1.1107572652393,0.657,0.4,3.68555590143254e-56,"HPCAL1","0"
5.99571755763692e-60,0.318198537665446,0.999,0.999,1.07964886060368e-55,"CKB","0"
6.05459424243279e-59,-1.42485841729227,0.469,0.662,1.09025078523487e-54,"APOD","0"
1.49270349505674e-57,1.35909451749541,0.398,0.156,2.68791118354867e-53,"HS6ST3","0"
1.70674249858492e-57,0.61417436429314,0.922,0.802,3.07333121720186e-53,"LMO4","0"
1.76858618257032e-57,1.28348003166827,0.425,0.177,3.18469313895438e-53,"RASGRF2","0"
5.47300637009099e-57,0.797623889803763,0.75,0.478,9.85524257062285e-53,"GABRD","0"
1.75849815914442e-56,1.36781695750412,0.416,0.174,3.16652763517135e-52,"GPX3","0"
1.74192848264436e-55,1.78879159028423,0.272,0.077,3.1366906186977e-51,"LINC01007","0"
2.19293795283872e-55,-1.54862497502812,0.375,0.584,3.94882337167669e-51,"GPRC5B","0"
3.76518280810914e-55,1.04214459191108,0.556,0.289,6.77996468256213e-51,"TESPA1","0"
1.34598606742649e-54,-2.48627914607695,0.155,0.387,2.42371711161489e-50,"CLDN11","0"
2.50227109676505e-54,-1.41598013784286,0.335,0.564,4.50583956394483e-50,"KRT19","0"
4.06017255073581e-54,-2.11052326989347,0.171,0.408,7.31115271210997e-50,"BCAS1","0"
7.75687694038487e-54,-1.37614931042587,0.508,0.687,1.3967808306551e-49,"MARCKSL1","0"
8.40377403857672e-54,-0.395058822857033,1,1,1.51326759112651e-49,"FTH1","0"
1.03880345191966e-53,-1.02560472011934,0.571,0.815,1.87057337587174e-49,"SCGB2A2","0"
1.07705803245448e-53,0.885471059062352,0.665,0.401,1.93945839904079e-49,"CRYM","0"
1.19352255859924e-53,-0.621041873156345,0.972,0.985,2.14917607126964e-49,"TUBA1A","0"
1.41351254554585e-53,-0.51031132889558,0.987,0.994,2.54531204076442e-49,"FTL","0"
3.42347661916118e-53,0.654596126107269,0.96,0.89,6.16465434812354e-49,"NEFL","0"
4.0391045363003e-53,0.978002344816208,0.553,0.289,7.27321553851595e-49,"ARPP21","0"
5.93027099892494e-53,1.65688818227252,0.292,0.092,1.06786389877641e-48,"LINC00507","0"
7.6791033638014e-53,-0.799970380603694,0.789,0.9,1.38277614271972e-48,"GPM6B","0"
2.08083928211277e-52,-1.30594127636828,0.467,0.651,3.74696729530047e-48,"CSRP1","0"
2.80369486639721e-52,1.34285688434041,0.38,0.151,5.04861334592146e-48,"RBP4","0"
3.00630205545915e-52,-2.09843016804732,0.188,0.416,5.41344811126528e-48,"LINC00844","0"
3.36486081888943e-52,0.540580846295109,0.93,0.834,6.0591048765742e-48,"GAP43","0"
5.73613906463737e-51,0.311077229655581,1,0.998,1.03290656136925e-46,"MT-ND5","0"
1.87613348697247e-50,0.770720450517118,0.737,0.48,3.37835356999132e-46,"NSG2","0"
9.10954066338762e-50,0.781997561437351,0.738,0.479,1.64035498725621e-45,"INA","0"
1.02353629696179e-49,-1.12958659253238,0.534,0.689,1.8430818099391e-45,"QDPR","0"
1.05978086385559e-49,0.843813846791632,0.672,0.414,1.90834740154476e-45,"GABRB2","0"
4.11098320648893e-49,-1.67646303462427,0.292,0.5,7.40264745992461e-45,"PAQR6","0"
6.60252353245158e-49,0.34211681209222,0.998,0.986,1.18891641248856e-44,"CALM3","0"
6.64029042063803e-49,-1.93170036133933,0.24,0.453,1.19571709604429e-44,"SELENOP","0"
6.8227807917641e-49,0.294875843316684,1,1,1.22857813717296e-44,"CALM2","0"
8.08535185508284e-49,0.656183254947051,0.825,0.615,1.45592930854477e-44,"MEF2C","0"
8.94050514484014e-49,0.47926317055108,0.966,0.896,1.60991676143136e-44,"MDH1","0"
3.68968447005466e-48,-0.495919134507201,0.959,0.978,6.64401482522743e-44,"RPL10","0"
2.37732279985485e-47,0.387188924485475,0.993,0.96,4.28084516569862e-43,"CHN1","0"
3.60523811403805e-47,0.692412112832492,0.756,0.505,6.49195227194831e-43,"SLC12A5","0"
7.8163028045403e-47,1.52433018627189,0.281,0.094,1.40748164601357e-42,"LAMP5","0"
1.37294507909807e-46,-1.36694052698313,0.424,0.597,2.4722622039319e-42,"QKI","0"
2.38525107395039e-46,0.94221397398681,0.768,0.579,4.29512160886247e-42,"NEFM","0"
3.23487324969257e-46,-0.497355726495909,0.929,0.976,5.82503626072142e-42,"RPL13A","0"
4.79300874903581e-46,-2.42269154535242,0.114,0.321,8.63077085438879e-42,"HSPA2","0"
7.39876958647049e-46,0.363574431473251,0.999,0.978,1.33229643943574e-41,"RTN1","0"
9.81988761295094e-46,-0.566116461846767,0.873,0.933,1.76826716246407e-41,"RPL11","0"
1.25772354343252e-45,1.08209535138631,0.474,0.242,2.26478278465894e-41,"GRIA4","0"
1.39236145557473e-45,1.43612224931679,0.286,0.098,2.50722527305342e-41,"TMOD1","0"
2.58353207200317e-45,-2.36558559915844,0.12,0.328,4.6521662020561e-41,"TMEM144","0"
9.29179609876199e-45,-2.10778008432745,0.152,0.361,1.67317372350407e-40,"MAL","0"
9.66828923295021e-45,1.04245040915457,0.459,0.228,1.74096884217734e-40,"EPHA4","0"
9.89137476659304e-45,0.424390156861455,0.967,0.908,1.78113985422041e-40,"TSC22D1","0"
1.09063870598819e-44,1.75222800693749,0.29,0.108,1.96391311787293e-40,"FABP4","0"
3.26176636640961e-44,0.354839453421057,0.997,0.981,5.87346269599378e-40,"HSPA8","0"
6.18235256824251e-44,0.661613163427634,0.821,0.627,1.11325622696343e-39,"CAMK2A","0"
7.95688488430023e-44,-2.54981524574976,0.101,0.299,1.43279626111594e-39,"MOG","0"
9.44603945662403e-44,1.75967665445788,0.336,0.146,1.70094832495429e-39,"SAA1","0"
1.16166045369647e-43,0.412852279938508,0.975,0.942,2.09180197897124e-39,"ARPP19","0"
1.2943882603664e-43,-0.402719222986452,0.976,0.991,2.33080494044178e-39,"RPL13","0"
1.77935511237063e-43,1.42207888038534,0.281,0.1,3.2040847508458e-39,"KCNS1","0"
2.16468342272501e-43,0.832389092241291,0.587,0.349,3.89794543930092e-39,"CADM3","0"
5.01403293184035e-43,0.752403647070564,0.665,0.419,9.02876910036491e-39,"BEX5","0"
5.88194992427902e-43,-2.08465194331553,0.138,0.34,1.05916272286492e-38,"OPALIN","0"
6.29178432011918e-43,-2.24471637140771,0.133,0.333,1.13296160252386e-38,"CARNS1","0"
