"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
1.14112838174531e-184,1.0129582608153,0.997,0.927,2.05482987700877e-180,"ENC1","0"
5.88483904795966e-142,0.34351687383243,1,1,1.0596829673661e-137,"MT-CO1","0"
1.16520804342858e-139,1.35048589552958,0.831,0.474,2.09819012380184e-135,"HOPX","0"
1.95107236559425e-129,0.530919884967874,1,0.99,3.51329600872557e-125,"NRGN","0"
4.22236943302357e-124,0.654275309527424,1,0.962,7.60322063804554e-120,"CCK","0"
7.66218532747935e-111,0.593017548319995,0.998,0.975,1.37972971191921e-106,"YWHAH","0"
4.61429342693044e-103,0.5492610177434,0.999,0.973,8.30895817387365e-99,"OLFM1","0"
5.53433180429184e-101,0.287401936160356,1,1,9.96567127998832e-97,"MT-ATP6","0"
8.18623951440361e-92,0.281360171754596,1,1,1.47409614935866e-87,"MT-CYB","0"
3.73814595483642e-88,0.454672338052791,1,0.995,6.73127942087394e-84,"NDUFA4","0"
3.09517255228497e-81,0.503270696037739,0.998,0.977,5.57347721489955e-77,"VSNL1","0"
8.37203184716506e-78,0.541922719378092,0.987,0.981,1.50755177471901e-73,"CAMK2N1","0"
5.28448626786321e-75,0.268459259455883,1,1,9.51577442254129e-71,"MT-ND3","0"
6.47890015829602e-75,2.05362872162077,0.299,0.069,1.16665555150436e-70,"CUX2","0"
1.84646136478661e-72,1.72962951781609,0.365,0.11,3.32492297957124e-68,"PCDH8","0"
1.34125356631261e-71,2.1555062494564,0.349,0.105,2.41519529685911e-67,"CARTPT","0"
1.90603490530735e-70,0.360377312465348,1,0.998,3.43219705398694e-66,"CALM1","0"
2.22718902896109e-68,1.33379887877096,0.497,0.216,4.01049928445024e-64,"VSTM2A","0"
9.92253703834618e-66,1.312394462833,0.478,0.201,1.786751244495e-61,"FAM84A","0"
3.6086388693132e-65,1.92180304973667,0.306,0.086,6.49807601197227e-61,"CALB1","0"
6.72966167365979e-64,1.25531194505762,0.491,0.217,1.21181017757592e-59,"HAPLN4","0"
2.30611184504931e-62,1.57137875907632,0.36,0.122,4.1526155993803e-58,"CBLN4","0"
4.60036942486586e-62,0.984839659960335,0.632,0.344,8.28388522335596e-58,"C11orf87","0"
2.11156472225387e-61,1.30341053607403,0.472,0.208,3.80229459536254e-57,"CA10","0"
2.26756279808118e-61,0.515435405079582,0.994,0.99,4.08320033050479e-57,"ATP1B1","0"
1.94145940562352e-60,0.584370511369517,0.948,0.859,3.49598595170626e-56,"ATP1A1","0"
2.04673510381104e-60,1.1107572652393,0.657,0.4,3.68555590143254e-56,"HPCAL1","0"
5.99571755763692e-60,0.318198537665446,0.999,0.999,1.07964886060368e-55,"CKB","0"
1.49270349505674e-57,1.35909451749541,0.398,0.156,2.68791118354867e-53,"HS6ST3","0"
1.70674249858492e-57,0.61417436429314,0.922,0.802,3.07333121720186e-53,"LMO4","0"
1.76858618257032e-57,1.28348003166827,0.425,0.177,3.18469313895438e-53,"RASGRF2","0"
5.47300637009099e-57,0.797623889803763,0.75,0.478,9.85524257062285e-53,"GABRD","0"
1.75849815914442e-56,1.36781695750412,0.416,0.174,3.16652763517135e-52,"GPX3","0"
1.74192848264436e-55,1.78879159028423,0.272,0.077,3.1366906186977e-51,"LINC01007","0"
3.76518280810914e-55,1.04214459191108,0.556,0.289,6.77996468256213e-51,"TESPA1","0"
1.07705803245448e-53,0.885471059062352,0.665,0.401,1.93945839904079e-49,"CRYM","0"
3.42347661916118e-53,0.654596126107269,0.96,0.89,6.16465434812354e-49,"NEFL","0"
4.0391045363003e-53,0.978002344816208,0.553,0.289,7.27321553851595e-49,"ARPP21","0"
5.93027099892494e-53,1.65688818227252,0.292,0.092,1.06786389877641e-48,"LINC00507","0"
2.80369486639721e-52,1.34285688434041,0.38,0.151,5.04861334592146e-48,"RBP4","0"
3.36486081888943e-52,0.540580846295109,0.93,0.834,6.0591048765742e-48,"GAP43","0"
5.73613906463737e-51,0.311077229655581,1,0.998,1.03290656136925e-46,"MT-ND5","0"
1.87613348697247e-50,0.770720450517118,0.737,0.48,3.37835356999132e-46,"NSG2","0"
